Executing C:\Users\rhb\Documents\ZEMAX\MACROS\SPECTRO_CENTROIDS_INTENSITY_WEIGHTED.ZPL.
                          Chief Ray             Centroid
Fiber   Lambda (?)    Pixel X   Pixel Y    Pixel X   Pixel Y        RMS
00134        10690    12.6520  -13.4920    12.6501  -13.4903    0.00468
00134        10855     9.7331  -13.4835     9.7317  -13.4819    0.00443
00134        11020     6.8098  -13.4773     6.8089  -13.4757    0.00422
00134        11185     3.8805  -13.4734     3.8800  -13.4718    0.00403
00134        11350     0.9435  -13.4718     0.9436  -13.4702    0.00386
00134        11515    -2.0025  -13.4725    -2.0020  -13.4710    0.00370
00134        11680    -4.9595  -13.4757    -4.9584  -13.4741    0.00359
00134        11845    -7.9289  -13.4812    -7.9273  -13.4797    0.00355
00134        12010   -10.9125  -13.4891   -10.9103  -13.4875    0.00361
00134        12175   -13.9121  -13.4995   -13.9094  -13.4980    0.00379
00134        12340   -16.9300  -13.5128   -16.9269  -13.5114    0.00406
00134        12505   -19.9692  -13.5295   -19.9660  -13.5284    0.00429
00134        12670   -23.0327  -13.5501   -23.0299  -13.5496    0.00432
00134        12835   -26.1230  -13.5743   -26.1210  -13.5745    0.00451
00134        13000   -29.2402  -13.6010   -29.2389  -13.6017    0.00507
00168         9700    30.1053  -17.0212    30.1048  -17.0219    0.00535
00168         9865    27.1719  -16.9912    27.1714  -16.9918    0.00398
00168        10030    24.2417  -16.9627    24.2405  -16.9627    0.00450
00168        10195    21.3157  -16.9368    21.3138  -16.9360    0.00506
00168        10360    18.3936  -16.9147    18.3912  -16.9132    0.00528
00168        10525    15.4737  -16.8965    15.4714  -16.8947    0.00511
00168        10690    12.5538  -16.8822    12.5518  -16.8802    0.00480
00168        10855     9.6315  -16.8714     9.6300  -16.8693    0.00451
00168        11020     6.7049  -16.8637     6.7039  -16.8616    0.00428
00168        11185     3.7723  -16.8589     3.7719  -16.8569    0.00409
00168        11350     0.8321  -16.8571     0.8321  -16.8550    0.00393
00168        11515    -2.1174  -16.8581    -2.1169  -16.8561    0.00380
00168        11680    -5.0778  -16.8621    -5.0767  -16.8601    0.00373
00168        11845    -8.0508  -16.8691    -8.0492  -16.8671    0.00372
00168        12010   -11.0382  -16.8793   -11.0360  -16.8774    0.00381
00168        12175   -14.0420  -16.8930   -14.0395  -16.8912    0.00399
00168        12340   -17.0649  -16.9107   -17.0621  -16.9092    0.00416
00168        12505   -20.1096  -16.9328   -20.1070  -16.9320    0.00419
00168        12670   -23.1787  -16.9594   -23.1766  -16.9593    0.00428
00168        12835   -26.2733  -16.9895   -26.2720  -16.9902    0.00474
00168        13000   -29.3932  -17.0218   -29.3922  -17.0228    0.00513
00201         9700    30.0075  -20.4507    30.0066  -20.4512    0.00856
00201         9865    27.0725  -20.4163    27.0720  -20.4171    0.00439
00201        10030    24.1403  -20.3836    24.1396  -20.3841    0.00390
00201        10195    21.2107  -20.3532    21.2095  -20.3530    0.00437
00201        10360    18.2839  -20.3262    18.2822  -20.3253    0.00480
00201        10525    15.3590  -20.3036    15.3571  -20.3020    0.00499
00201        10690    12.4342  -20.2855    12.4324  -20.2834    0.00491
00201        10855     9.5074  -20.2718     9.5059  -20.2694    0.00469
00201        11020     6.5766  -20.2621     6.5756  -20.2597    0.00445
00201        11185     3.6398  -20.2562     3.6393  -20.2538    0.00425
00201        11350     0.6955  -20.2541     0.6955  -20.2516    0.00410
00201        11515    -2.2583  -20.2555    -2.2577  -20.2531    0.00399
00201        11680    -5.2230  -20.2607    -5.2220  -20.2583    0.00395
00201        11845    -8.2006  -20.2697    -8.1991  -20.2674    0.00397
00201        12010   -11.1931  -20.2829   -11.1911  -20.2809    0.00404
00201        12175   -14.2026  -20.3007   -14.2004  -20.2991    0.00409
00201        12340   -17.2317  -20.3234   -17.2295  -20.3224    0.00407
00201        12505   -20.2827  -20.3510   -20.2809  -20.3508    0.00415
00201        12670   -23.3574  -20.3829   -23.3561  -20.3836    0.00453
00201        12835   -26.4560  -20.4179   -26.4550  -20.4190    0.00484
00201        13000   -29.5790  -20.4550   -29.5778  -20.4561    0.00574
00235         9700    29.8916  -23.8941    29.8906  -23.8948    0.01244
00235         9865    26.9526  -23.8543    26.9517  -23.8549    0.00755
00235        10030    24.0180  -23.8183    24.0176  -23.8191    0.00413
00235        10195    21.0854  -23.7847    21.0848  -23.7853    0.00375
00235        10360    18.1542  -23.7542    18.1533  -23.7541    0.00410
00235        10525    15.2239  -23.7276    15.2227  -23.7268    0.00442
00235        10690    12.2935  -23.7058    12.2922  -23.7043    0.00461
00235        10855     9.3611  -23.6890     9.3600  -23.6870    0.00464
00235        11020     6.4249  -23.6770     6.4241  -23.6748    0.00456
00235        11185     3.4830  -23.6698     3.4826  -23.6674    0.00444
00235        11350     0.5334  -23.6673     0.5334  -23.6649    0.00432
00235        11515    -2.4256  -23.6694    -2.4251  -23.6670    0.00422
00235        11680    -5.3958  -23.6761    -5.3949  -23.6739    0.00415
00235        11845    -8.3793  -23.6877    -8.3780  -23.6858    0.00410
00235        12010   -11.3781  -23.7045   -11.3766  -23.7030    0.00404
00235        12175   -14.3945  -23.7266   -14.3929  -23.7258    0.00400
00235        12340   -17.4304  -23.7540   -17.4291  -23.7540    0.00412
00235        12505   -20.4878  -23.7861   -20.4867  -23.7869    0.00443
00235        12670   -23.5675  -23.8219   -23.5666  -23.8231    0.00461
00235        12835   -26.6702  -23.8607   -26.6691  -23.8620    0.00532
00235        13000   -29.7992  -23.9039   -29.7981  -23.9054    0.00759
