Executing C:\Users\rhb\Documents\ZEMAX\MACROS\SPECTRO_CENTROIDS_INTENSITY_WEIGHTED.ZPL.
                          Chief Ray             Centroid
Fiber   Lambda (?)    Pixel X   Pixel Y    Pixel X   Pixel Y        RMS
00168         7550   -12.1515  -16.8128   -12.1496  -16.8115    0.00445
00168         7725    -9.2232  -16.8021    -9.2217  -16.8008    0.00419
00168         7900    -6.2933  -16.7948    -6.2924  -16.7935    0.00393
00168         8075    -3.3602  -16.7906    -3.3598  -16.7893    0.00368
00168         8250    -0.4220  -16.7893    -0.4222  -16.7880    0.00347
00168         8425     2.5227  -16.7909     2.5219  -16.7896    0.00335
00168         8600     5.4755  -16.7954     5.4741  -16.7940    0.00340
00168         8775     8.4382  -16.8030     8.4361  -16.8016    0.00368
00168         8950    11.4125  -16.8140    11.4099  -16.8127    0.00418
00168         9125    14.4008  -16.8288    14.3977  -16.8277    0.00475
00168         9300    17.4052  -16.8475    17.4018  -16.8467    0.00519
00168         9475    20.4278  -16.8700    20.4243  -16.8696    0.00536
00168         9650    23.4704  -16.8961    23.4670  -16.8962    0.00533
00168         9825    26.5346  -16.9256    26.5314  -16.9261    0.00537
00168        10000    29.6222  -16.9583    29.6191  -16.9591    0.00585
00201         6500   -29.7392  -20.3660   -29.7376  -20.3672    0.00490
00201         6675   -26.7795  -20.3298   -26.7779  -20.3307    0.00425
00201         6850   -23.8281  -20.2971   -23.8263  -20.2977    0.00445
00201         7025   -20.8832  -20.2679   -20.8813  -20.2681    0.00461
00201         7200   -17.9437  -20.2424   -17.9416  -20.2420    0.00463
00201         7375   -15.0080  -20.2207   -15.0060  -20.2199    0.00455
00201         7550   -12.0747  -20.2031   -12.0729  -20.2020    0.00439
00201         7725    -9.1419  -20.1896    -9.1405  -20.1883    0.00418
00201         7900    -6.2078  -20.1802    -6.2068  -20.1787    0.00397
00201         8075    -3.2705  -20.1748    -3.2701  -20.1732    0.00379
00201         8250    -0.3283  -20.1731    -0.3286  -20.1715    0.00368
00201         8425     2.6204  -20.1753     2.6196  -20.1737    0.00371
00201         8600     5.5775  -20.1813     5.5761  -20.1797    0.00389
00201         8775     8.5447  -20.1913     8.5428  -20.1898    0.00421
00201         8950    11.5240  -20.2055    11.5216  -20.2042    0.00458
00201         9125    14.5174  -20.2241    14.5147  -20.2232    0.00489
00201         9300    17.5270  -20.2470    17.5240  -20.2466    0.00504
00201         9475    20.5546  -20.2743    20.5516  -20.2743    0.00505
00201         9650    23.6020  -20.3055    23.5991  -20.3060    0.00509
00201         9825    26.6710  -20.3407    26.6681  -20.3416    0.00543
00201        10000    29.7635  -20.3799    29.7608  -20.3812    0.00642
00235         6500   -29.6764  -23.7984   -29.6750  -23.8000    0.00660
00235         6675   -26.7120  -23.7561   -26.7105  -23.7574    0.00459
00235         6850   -23.7562  -23.7184   -23.7547  -23.7194    0.00406
00235         7025   -20.8071  -23.6848   -20.8055  -23.6855    0.00419
00235         7200   -17.8630  -23.6554   -17.8614  -23.6557    0.00431
00235         7375   -14.9225  -23.6304   -14.9209  -23.6302    0.00433
00235         7550   -11.9841  -23.6098   -11.9827  -23.6092    0.00428
00235         7725    -9.0461  -23.5938    -9.0450  -23.5929    0.00419
00235         7900    -6.1069  -23.5826    -6.1061  -23.5814    0.00410
00235         8075    -3.1645  -23.5760    -3.1642  -23.5747    0.00403
00235         8250    -0.2173  -23.5741    -0.2175  -23.5727    0.00402
00235         8425     2.7366  -23.5769     2.7359  -23.5755    0.00410
00235         8600     5.6990  -23.5844     5.6978  -23.5832    0.00425
00235         8775     8.6718  -23.5967     8.6701  -23.5957    0.00443
00235         8950    11.6568  -23.6139    11.6548  -23.6132    0.00459
00235         9125    14.6561  -23.6361    14.6538  -23.6358    0.00469
00235         9300    17.6715  -23.6630    17.6690  -23.6632    0.00473
00235         9475    20.7047  -23.6946    20.7022  -23.6953    0.00482
00235         9650    23.7577  -23.7309    23.7552  -23.7319    0.00514
00235         9825    26.8324  -23.7719    26.8299  -23.7733    0.00600
00235        10000    29.9313  -23.8181    29.9290  -23.8200    0.00757
00269         6500   -29.6044  -27.2493   -29.6037  -27.2518    0.00884
00269         6675   -26.6338  -27.2003   -26.6325  -27.2020    0.00649
00269         6850   -23.6726  -27.1571   -23.6712  -27.1585    0.00459
