λ (nm),E17016R/E17012R sur SN2,,,,,,,,,,,,,,,,,,,,,,Design Nominal,,Requirements,,,Tmoy sur les 21 points de mesures,,Points,Moyenne entre 652-1270nm,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,,,,λ (nm),T(%),,,,,,
1247,96.1507,96.6623,96.6445,96.4499,97.4554,96.6079,96.8161,96.6089,97.0201,96.6822,96.6592,96.8287,96.7240,96.6958,96.8538,96.9019,96.9438,95.9143,96.3757,96.5260,95.1052,,98.2211,,,,,96.6013,,,,
1246,96.0996,96.6656,96.6401,96.4749,97.4212,96.4892,96.6850,96.5402,97.0092,96.6992,96.5300,96.7002,96.6350,96.5850,96.8277,96.8226,96.9062,95.9112,96.3466,96.5409,95.0979,,98.1939,,,,,96.5537,,,,
1245,96.1163,96.5210,96.5370,96.4790,97.1936,96.5070,96.5980,96.4331,96.8978,96.5700,96.5440,96.5820,96.7949,96.6939,96.7409,96.7579,96.8138,95.9182,96.4526,96.4626,95.0376,,98.1636,,,,,96.5072,,,,
1244,96.1708,96.5725,96.6739,96.4740,97.0085,96.4494,96.6473,96.5065,96.9327,96.5626,96.5134,96.6069,96.8402,96.7752,96.6739,96.7772,96.8048,95.8469,96.3493,96.4298,95.1419,,98.1301,,,,,96.5123,,,,
1243,96.0908,96.5626,96.5734,96.3800,96.8117,96.4122,96.6046,96.4151,97.0139,96.5353,96.4230,96.6300,96.8948,96.7238,96.7219,96.7824,96.8537,95.8322,96.4023,96.4578,95.0472,,98.0935,,,,,96.4842,,,,
1242,96.1338,96.5391,96.6504,96.4307,96.7695,96.4385,96.6875,96.4893,97.1025,96.6221,96.5039,96.5762,96.7256,96.5303,96.7188,96.8369,96.8652,95.7592,96.3514,96.3572,95.1326,,98.0537,,,,,96.4867,,,,
1241,96.2040,96.5173,96.6558,96.4682,96.6499,96.4957,96.6047,96.5154,97.0958,96.6244,96.5576,96.6342,96.7422,96.4584,96.7079,96.7982,96.8444,95.7091,96.3773,96.4790,95.3311,,98.0109,,,,,96.4986,,,,
1240,96.4474,96.6729,96.7046,96.6212,96.6540,96.6649,96.6788,96.6967,97.3631,96.6242,96.7344,96.7901,96.7831,96.6043,96.9082,96.9629,96.9519,95.5904,96.4332,96.4718,95.4489,,97.965,,,,,96.6099,,,,
1239,96.3408,96.5236,96.5969,96.4784,96.5126,96.5075,96.6793,96.4463,97.2348,96.5899,96.5959,96.6070,96.7787,96.5969,96.7586,96.7888,96.9374,95.6108,96.3521,96.4582,95.3813,,97.9161,,,,,96.5131,,,,
1238,96.3965,96.5451,96.6011,96.4301,96.4677,96.5003,96.6571,96.4545,97.1477,96.5573,96.4983,96.6194,96.7039,96.4891,96.6795,96.8352,96.8403,95.7773,96.4848,96.5630,95.4094,,97.8642,,,,,96.5075,,,,
1237,96.2573,96.5141,96.6007,96.4275,96.5172,96.5007,96.6905,96.4801,97.1669,96.6255,96.5688,96.6162,96.6915,96.5358,96.6915,96.7987,96.9143,95.7509,96.4423,96.5081,95.4099,,97.8095,,,,,96.5099,,,,
1236,96.3258,96.5933,96.7375,96.4836,96.5526,96.6247,96.7626,96.6382,97.3363,96.6623,96.7030,96.7647,96.8901,96.6905,96.6905,96.8337,96.9423,95.6732,96.4580,96.4278,95.4240,,97.752,,,,,96.5816,,,,
1235,96.3375,96.4780,96.7095,96.5256,96.5615,96.5594,96.7010,96.5615,97.3551,96.6566,96.6714,96.6651,96.8056,96.5150,96.7338,96.7908,96.9620,95.8061,96.4886,96.4517,95.4272,,97.6919,,,,,96.5601,,,,
1234,96.3278,96.5629,96.7188,96.5094,96.6836,96.6141,96.7829,96.5703,97.3855,96.6804,96.6494,96.8107,96.8481,96.5543,96.7872,96.8941,97.0169,95.7705,96.5583,96.6678,95.3210,,97.6291,,,,,96.6054,,,,
1233,96.3710,96.5292,96.7295,96.4862,96.6606,96.5604,96.7445,96.5465,97.3560,96.6186,96.6143,96.6100,96.8726,96.5691,96.8102,96.9405,96.9900,95.7181,96.6227,96.6710,95.3255,,97.564,,,,,96.5879,,,,
1232,96.3913,96.6028,96.7286,96.5291,96.7200,96.4998,96.7774,96.5399,97.2851,96.6386,96.6375,96.6777,96.8729,96.5855,96.8198,96.9510,96.9282,95.7150,96.5969,96.5926,95.2535,,97.4966,,,,,96.5878,,,,
1231,96.3454,96.5615,96.7175,96.4884,96.7524,96.6018,96.7448,96.5375,97.3417,96.5909,96.6182,96.6379,96.7994,96.5506,96.7262,96.9390,97.0100,95.7308,96.6453,96.6573,95.4041,,97.427,,,,,96.5905,,,,
1230,96.2844,96.5390,96.7409,96.4370,96.7091,96.5324,96.6915,96.4688,97.3181,96.6422,96.6608,96.6872,96.8671,96.5544,96.7442,96.9055,96.9011,95.7020,96.4790,96.5609,95.2565,,97.3554,,,,,96.5563,,,,
1229,96.1692,96.3814,96.6289,96.4188,96.5948,96.4419,96.5915,96.4584,97.2569,96.4342,96.4914,96.5783,96.7312,96.5222,96.5970,96.7752,96.8951,95.7536,96.5297,96.4672,95.2359,,97.2821,,,,,96.4739,,,,
1228,96.2240,96.4137,96.7335,96.4236,96.7037,96.5030,96.6431,96.4743,97.2639,96.5604,96.4457,96.4677,96.8041,96.6089,96.6574,96.8449,96.9088,95.6887,96.5151,96.4711,95.1450,,97.2071,,,,,96.5000,,,,
1227,96.1784,96.3642,96.6053,96.3819,96.6252,96.4604,96.5522,96.4117,97.2477,96.3941,96.5102,96.4637,96.6959,96.5699,96.6230,96.7125,96.8131,95.4834,96.3815,96.4388,95.1071,,97.1308,,,,,96.4295,,,,
1226,96.0912,96.3636,96.5031,96.3171,96.6194,96.3204,96.4201,96.3204,97.1343,96.3525,96.4012,96.4001,96.6138,96.4024,96.4754,96.7069,96.7091,95.5554,96.3339,96.4311,95.0743,,97.0532,,,,,96.3593,,,,
1225,96.0335,96.3807,96.3851,96.2365,96.5837,96.4106,96.4838,96.2931,97.0917,96.3940,96.3563,96.4051,96.5715,96.4140,96.4949,96.6436,96.6913,95.5756,96.3633,96.3423,95.0535,,96.9746,,,,,96.3430,,,,
1224,95.8644,96.2477,96.2788,96.1488,96.3466,96.2244,96.3333,96.2311,96.9377,96.3133,96.2211,96.3088,96.4388,96.2555,96.4066,96.5677,96.6089,95.4012,96.2190,96.1847,94.8575,,96.8953,,,,,96.2093,,,,
1223,95.9525,96.1439,96.2597,96.0961,96.3398,96.1528,96.2864,96.0783,96.8528,96.2129,96.0972,96.2430,96.4277,96.2474,96.2986,96.5156,96.4689,95.3005,96.0599,96.0754,94.8402,,96.8154,,,,,96.1404,,,,
1222,95.8082,95.9907,96.1967,96.0508,96.3703,96.0954,96.2757,96.0542,96.8678,96.1911,96.1020,96.2078,96.3414,96.1989,96.3146,96.4794,96.4226,95.1538,96.0174,95.9853,94.8335,,96.7352,,,,,96.0932,,,,
1221,95.5478,95.8478,96.0790,95.7800,96.0623,95.8123,96.0668,95.8878,96.6436,95.9001,95.9423,95.9023,96.1901,96.0123,96.0568,96.2402,96.2702,95.1077,95.9026,95.9325,94.8033,,96.655,,,,,95.9042,,,,
1220,95.5316,95.7852,96.0244,95.6818,95.9877,95.8464,96.0166,95.9354,96.6317,95.8787,95.8075,95.8787,96.1178,95.9866,96.0188,96.2914,96.3292,95.0228,95.6966,95.8252,94.6698,,96.5749,,,,,95.8554,,,,
1219,95.5441,95.7624,95.9550,95.7590,96.0318,95.7301,95.9828,95.8815,96.5896,95.9093,95.8136,95.9327,96.0574,95.9149,95.9895,96.2723,96.2567,95.0052,95.7486,95.8728,94.6696,,96.4953,,,,,95.8418,,,,
1218,95.4006,95.5876,95.8504,95.6745,95.9328,95.7224,95.8571,95.7769,96.4461,95.8215,95.6567,95.8537,96.0430,95.8704,95.8593,96.1343,96.0464,94.8367,95.6592,95.6636,94.4764,,96.4164,,,,,95.7224,,,,
1217,95.2589,95.4949,95.7999,95.5461,95.7921,95.7009,95.7543,95.5996,96.3588,95.7287,95.6151,95.7142,95.9614,95.7176,95.7298,96.1038,96.0760,94.9231,95.5614,95.5969,94.4591,,96.3385,,,,,95.6425,,,,
1216,95.2997,95.5473,95.8037,95.5640,95.8896,95.5841,95.7558,95.6822,96.3624,95.7112,95.6275,95.7457,95.9900,95.6878,95.7647,96.1238,95.9755,94.8654,95.4900,95.5634,94.4652,,96.2618,,,,,95.6428,,,,
1215,95.1794,95.3755,95.6596,95.4591,95.7031,95.4435,95.6964,95.4657,96.0953,95.5917,95.5192,95.6830,95.8246,95.6084,95.7176,95.9449,95.9293,94.7815,95.3472,95.4913,94.5311,,96.1865,,,,,95.5261,,,,
1214,95.0851,95.3814,95.5384,95.3613,95.6153,95.4304,95.5908,95.4872,96.0307,95.4349,95.4126,95.5997,95.6832,95.5874,95.5462,95.9060,95.6743,94.6683,95.3502,95.4457,94.4473,,96.1131,,,,,95.4417,,,,
1213,95.1181,95.3701,95.5674,95.3344,95.6521,95.4760,95.5674,95.5585,96.0479,95.5897,95.4425,95.5953,95.7547,95.5808,95.6599,95.8996,95.7792,94.5750,95.3205,95.3549,94.4417,,96.0416,,,,,95.4612,,,,
1212,94.9899,95.2139,95.5271,95.2284,95.5449,95.3789,95.4624,95.4390,95.9718,95.4903,95.3510,95.4379,95.6386,95.4814,95.5862,95.7623,95.7288,94.5176,95.1293,95.3192,94.4441,,95.9724,,,,,95.3640,,,,
1211,94.9033,95.2189,95.3058,95.1776,95.5311,95.3861,95.4274,95.3694,95.9280,95.4385,95.3460,95.4675,95.5734,95.4876,95.5177,95.7407,95.6972,94.5362,95.0736,95.2768,94.3872,,95.9057,,,,,95.3233,,,,
1210,94.7819,95.1351,95.2064,95.1173,95.3779,95.3334,95.3712,95.2197,95.6665,95.3824,95.1919,95.3155,95.5395,95.3256,95.3557,95.6197,95.5473,94.4793,95.0856,95.0856,94.3064,,95.8419,,,,,95.2116,,,,
1209,94.7317,95.0464,95.2785,95.0798,95.3845,95.2316,95.3254,95.2126,95.6456,95.2629,95.2093,95.3041,95.5139,95.3175,95.3008,95.6267,95.4939,94.4346,94.9699,95.0532,94.4829,,95.781,,,,,95.1860,,,,
1208,94.7533,95.0211,95.2231,95.1182,95.4183,95.2844,95.2610,95.3224,95.6705,95.3224,95.2387,95.3581,95.5500,95.4261,95.3224,95.7174,95.4942,94.4546,94.9807,94.9929,94.4299,,95.7234,,,,,95.2076,,,,
1207,94.5872,94.8660,95.0991,95.0054,95.3377,95.2173,95.1169,95.2028,95.5552,95.1771,95.1515,95.3645,95.3935,95.3667,95.2318,95.4916,95.3712,94.4855,94.9104,95.0006,94.3777,,95.6693,,,,,95.1100,,,,
1206,94.6995,94.9105,95.1762,95.1136,95.4396,95.2644,95.3079,95.2498,95.5167,95.2699,95.1516,95.3916,95.5267,95.4564,95.3637,95.6294,95.3336,94.4299,94.7201,94.9135,94.2678,,95.619,,,,,95.1492,,,,
1205,94.6988,94.8774,95.1140,95.0593,95.3394,95.1531,95.2044,95.1810,95.3997,95.1899,95.1040,95.3104,95.4276,95.3428,95.2970,95.5626,95.3461,94.3671,94.7800,94.8368,94.3848,,95.5726,,,,,95.0941,,,,
1204,94.5568,94.8805,95.0368,95.0346,95.3460,95.2344,95.1886,95.2902,95.3081,95.1540,95.0881,95.3315,95.3873,95.3616,95.1886,95.5994,95.4186,94.4040,94.7422,94.7722,94.4794,,95.5303,,,,,95.0858,,,,
1203,94.5682,94.8640,95.1018,94.9265,95.3262,95.1855,95.1554,95.2503,95.3865,95.2469,95.1141,95.2625,95.4434,95.3038,95.2190,95.5371,95.4166,94.5035,94.7682,94.7726,94.4857,,95.4924,,,,,95.0875,,,,
1202,94.5181,94.8585,95.0348,94.9522,95.2971,95.1397,95.1408,95.2714,95.3328,95.2089,95.0605,95.2078,95.4277,95.3328,95.2290,95.4712,95.3328,94.4468,94.6826,94.7071,94.5840,,95.4591,,,,,95.0589,,,,
1201,94.5305,94.8576,95.0172,95.0284,95.3410,95.1646,95.2182,95.3031,95.2193,95.2316,95.1255,95.2796,95.4449,95.4035,95.2785,95.5409,95.3667,94.4565,94.6233,94.6477,94.6717,,95.4305,,,,,95.0834,,,,
1200,94.5698,94.8222,95.0556,95.1013,95.3928,95.2342,95.2577,95.3314,95.2420,95.1962,95.0913,95.3850,95.5156,95.4520,95.2845,95.5927,95.3604,94.5081,94.6928,94.6449,94.7005,,95.4068,,,,,95.1158,,,,
1199,94.6257,94.9142,95.1009,95.0372,95.5325,95.3994,95.2910,95.3726,95.2977,95.3804,95.1277,95.4754,95.6074,95.4721,95.3770,95.6610,95.4419,94.6313,94.7171,94.6369,94.8968,,95.3881,,,,,95.1903,,,,
1198,94.6653,94.9480,95.1190,95.0955,95.5067,95.4106,95.2933,95.4363,95.2955,95.4430,95.2050,95.4676,95.5916,95.5402,95.4844,95.6967,95.4531,94.6233,94.6967,94.6121,95.0173,,95.3746,,,,,95.2191,,,,
1197,94.6842,94.9355,95.1409,95.2158,95.5765,95.4313,95.3319,95.5508,95.2392,95.4648,95.2794,95.5910,95.6278,95.6502,95.4749,95.6882,95.4458,94.7065,94.7621,94.7354,95.0477,,95.3664,,,,,95.2657,,,,
1196,94.7757,95.0639,95.2237,95.2896,95.6840,95.5499,95.4460,95.5812,95.2829,95.5522,95.3153,95.6751,95.6896,95.7834,95.5745,95.8147,95.5298,94.8354,94.7953,94.8098,95.1132,,95.3636,,,,,95.3517,,,,
1195,94.7764,95.0858,95.2879,95.3080,95.8017,95.5772,95.5247,95.6252,95.2846,95.6129,95.3047,95.7001,95.7380,95.7715,95.5716,95.8452,95.5258,94.9384,94.8494,94.8471,95.1457,,95.3662,,,,,95.3868,,,,
1194,94.8357,95.0713,95.2655,95.4229,95.7712,95.6004,95.5357,95.6897,95.2532,95.6652,95.5323,95.7288,95.7645,95.8137,95.6283,95.8773,95.5591,94.9534,94.8110,94.7754,95.2553,,95.3745,,,,,95.4195,,,,
1193,94.7977,95.0955,95.3007,95.4435,95.7647,95.6510,95.4613,95.6677,95.3386,95.6855,95.5305,95.8205,95.7770,95.8149,95.6554,95.9142,95.5918,95.1194,94.9212,94.8890,95.2957,,95.3883,,,,,95.4541,,,,
1192,94.8951,95.1361,95.4352,95.5735,95.9105,95.6918,95.6438,95.8090,95.3872,95.7967,95.6148,95.9864,95.8536,95.9652,95.7967,95.9842,95.5724,95.2154,94.9592,94.9915,95.4380,,95.4078,,,,,95.5551,,,,
1191,95.0581,95.2781,95.5148,95.7124,96.0809,95.8632,95.7493,95.9837,95.5092,95.9502,95.7236,96.0887,96.0351,96.0943,95.8833,96.2216,95.7403,95.2573,94.9423,94.9535,95.6862,,95.433,,,,,95.6822,,,,
1190,95.1784,95.3707,95.5596,95.8424,96.1968,96.0817,95.8413,96.0984,95.5361,96.0716,95.8536,96.1845,96.2102,96.2203,95.9531,96.2762,95.8782,95.4897,95.0473,95.0194,95.7925,,95.4638,,,,,95.7953,,,,
1189,95.3244,95.5220,95.7095,95.9856,96.3505,96.1338,96.0070,96.2045,95.5624,96.1888,96.0620,96.2584,96.3583,96.3550,96.1765,96.4605,95.9531,95.5399,95.1362,95.0668,95.8427,,95.5003,,,,,95.9142,,,,
1188,95.4649,95.6310,95.8152,96.0061,96.4889,96.2845,96.1857,96.3497,95.6905,96.3104,96.1127,96.4092,96.5316,96.5248,96.3564,96.5664,96.0229,95.7211,95.2623,95.1851,95.9934,,95.5424,,,,,96.0435,,,,
1187,95.5405,95.7605,95.9109,96.1354,96.5945,96.4822,96.2611,96.4531,95.7796,96.4003,96.2364,96.5328,96.6125,96.6630,96.4026,96.7045,96.1882,95.7652,95.3167,95.2564,96.2641,,95.59,,,,,96.1553,,,,
1186,95.5333,95.8002,95.9965,96.2017,96.6132,96.5762,96.2364,96.5000,95.6892,96.4652,96.2892,96.5415,96.5942,96.7803,96.4518,96.5841,96.3060,95.8955,95.4616,95.4493,96.2813,,95.643,,,,,96.2022,,,,
